time,group,activity
900,yw.shi,0.66962187062767
910,yw.shi,0.7131399427780061
920,yw.shi,0.7433598104793757
930,yw.shi,0.704106077554064
940,yw.shi,0.6818768642803872
950,yw.shi,0.6611993682645851
960,yw.shi,0.6800871551081277
970,yw.shi,0.6714322334079041
980,yw.shi,0.6833774619100703
990,yw.shi,0.6858640939597309
1000,yw.shi,0.6524445376584633
1010,yw.shi,0.6365314938684501
1020,yw.shi,0.6481054250559282
1030,yw.shi,0.6767197986577176
1040,yw.shi,0.6650362318840575
1050,yw.shi,0.6522091722595071
1060,yw.shi,0.6479314125633786
1070,yw.shi,0.6366198055786247
1080,yw.shi,0.6533347315436238
1090,yw.shi,0.6409722222222215
1100,yw.shi,0.6055881804623406
1110,yw.shi,0.6408114280387768
1120,yw.shi,0.6264841137123738
1130,yw.shi,0.6278313758389259
1140,yw.shi,0.6062243661446675
1150,yw.shi,0.6167618914901519
1160,yw.shi,0.6472825853142085
1170,yw.shi,0.6069088352152981
1180,yw.shi,0.6011333219231891
900,yw.109B,0.6692007775198243
910,yw.109B,0.6823338779423562
920,yw.109B,0.7213705075118123
930,yw.109B,0.7190153270480454
940,yw.109B,0.7384105012250989
950,yw.109B,0.7142332908637259
960,yw.109B,0.7030028230531584
970,yw.109B,0.7389145227442208
980,yw.109B,0.7245447788926049
990,yw.109B,0.679120392564184
1000,yw.109B,0.6927792425695107
1010,yw.109B,0.6819036338058075
1020,yw.109B,0.6895946521785443
1030,yw.109B,0.6873265553424948
1040,yw.109B,0.6634671789563094
1050,yw.109B,0.6623591802492804
1060,yw.109B,0.659312990186385
1070,yw.109B,0.6433297875931735
1080,yw.109B,0.6354762570576323
1090,yw.109B,0.6604889977172583
1100,yw.109B,0.6625958772770848
1110,yw.109B,0.6725914163204427
1120,yw.109B,0.633624316504751
1130,yw.109B,0.6199760972621705
1140,yw.109B,0.6047439277724509
1150,yw.109B,0.6181351860699682
1160,yw.109B,0.6145423122617093
1170,yw.109B,0.5762581136778684
1180,yw.109B,0.6058587694484607
900,shi.109B,0.7337833247913125
910,shi.109B,0.7336558253055137
920,shi.109B,0.7572440542549241
930,shi.109B,0.7479306487695754
940,shi.109B,0.7558398583146906
950,shi.109B,0.7253344481605347
960,shi.109B,0.7061008575689778
970,shi.109B,0.6915781133482471
980,shi.109B,0.7068678000743214
990,shi.109B,0.6976719798657713
1000,shi.109B,0.6781389821029078
1010,shi.109B,0.6581661092530655
1020,shi.109B,0.6757247390007453
1030,shi.109B,0.6815459545115579
1040,shi.109B,0.6585702341137118
1050,shi.109B,0.665948918717375
1060,shi.109B,0.6479345145014825
1070,shi.109B,0.6566484587576281
1080,shi.109B,0.6435262863534672
1090,shi.109B,0.6270879784466737
1100,shi.109B,0.6242589485458611
1110,shi.109B,0.6389751118568232
1120,shi.109B,0.6348429951690819
1130,shi.109B,0.6048005219985083
1140,shi.109B,0.6170511744966436
1150,shi.109B,0.5811872909698994
1160,shi.109B,0.5916077454303303
1170,shi.109B,0.5869840608278012
1180,shi.109B,0.5891842354829293
