time,group,activity
300,yw.25B,0.128369686800895
310,yw.25B,0.3478304436987322
320,yw.25B,0.6679115570419913
330,yw.25B,0.764471476510067
340,yw.25B,0.7738021998508573
350,yw.25B,0.7380225752508357
360,yw.25B,0.7589205816554809
370,yw.25B,0.7270306081793891
380,yw.25B,0.7398369986083362
390,yw.25B,0.7517850484712898
400,yw.25B,0.754401244890375
410,yw.25B,0.7498951342281878
420,yw.25B,0.7539914617205247
430,yw.25B,0.7541083845231055
440,yw.25B,0.7665291759880684
450,yw.25B,0.7701040505388326
460,yw.25B,0.7442277218493656
470,yw.25B,0.732166030379664
480,yw.25B,0.7576089993747561
490,yw.25B,0.7402789312622984
500,yw.25B,0.7342069965382991
510,yw.25B,0.7329481318538803
520,yw.25B,0.7356869873228927
530,yw.25B,0.7109345968041615
540,yw.25B,0.7463273676360919
550,yw.25B,0.737008296047725
560,yw.25B,0.7497259383128944
570,yw.25B,0.7278709917971661
580,yw.25B,0.7414289709172255
590,yw.25B,0.7342019695280559
600,yw.25B,0.7351486763609241
610,yw.25B,0.7329042137101296
620,yw.25B,0.7386602261702564
630,yw.25B,0.744987416107382
640,yw.25B,0.7309573578595312
650,yw.25B,0.7249254287844886
660,yw.25B,0.7286190343027584
670,yw.25B,0.7225009290226679
680,yw.25B,0.742535887397464
690,yw.25B,0.724135439970171
700,yw.25B,0.7257199925678177
710,yw.25B,0.724874161073825
720,yw.25B,0.7230914429530193
730,yw.25B,0.7110437569676697
740,yw.25B,0.7349692393736014
750,yw.25B,0.7235423306996468
760,yw.25B,0.7233707888462405
770,yw.25B,0.7017197986577175
780,yw.25B,0.7198764399851352
790,yw.25B,0.7070539709172254
800,yw.25B,0.7043577554064124
810,yw.25B,0.6932947788926043
820,yw.25B,0.7000512677106632
830,yw.25B,0.6937313571961214
840,yw.25B,0.6835005574136003
850,yw.25B,0.6871201528709908
860,yw.25B,0.6849902125279634
870,yw.25B,0.6575738573021177
880,yw.25B,0.6697287472035787
