time,group,activity
10,yw.shi,0.08500371951087082
20,yw.shi,0.07786690783845737
30,yw.shi,0.07860039149888152
40,yw.shi,0.08369100706057234
50,yw.shi,0.06777591349739001
60,yw.shi,0.07403523489932895
70,yw.shi,0.07192493496841332
80,yw.shi,0.07107102908277417
90,yw.shi,0.06504945798697626
100,yw.shi,0.07277796794684746
110,yw.shi,0.06507503728560786
120,yw.shi,0.05808017465626164
130,yw.shi,0.05770879940343032
140,yw.shi,0.05726836316181959
150,yw.shi,0.06675260126347084
160,yw.shi,0.066144668158091
170,yw.shi,0.06980098806860556
180,yw.shi,0.07860460795243415
190,yw.shi,0.08060216256524995
200,yw.shi,0.07790594705443706
210,yw.shi,0.0780309127552917
220,yw.shi,0.07189018258649144
230,yw.shi,0.06979464390374084
240,yw.shi,0.07906807491539039
250,yw.shi,0.08210756897837443
260,yw.shi,0.07546218877740621
270,yw.shi,0.11162844891871743
280,yw.shi,0.12719519015659964
290,yw.shi,0.1390189520624303
300,yw.shi,0.15370059656972412
10,yw.109B,0.09404148597415199
20,yw.109B,0.10398013953510758
30,yw.109B,0.09505699371471193
40,yw.109B,0.10753105590062106
50,yw.109B,0.09897564450836263
60,yw.109B,0.07857009694258021
70,yw.109B,0.09136639326856724
80,yw.109B,0.09123588473420688
90,yw.109B,0.09269642104483078
100,yw.109B,0.11198037860479508
110,yw.109B,0.1127926254394376
120,yw.109B,0.12954126187821846
130,yw.109B,0.13576388888888893
140,yw.109B,0.12582694151486115
150,yw.109B,0.1324719966024315
160,yw.109B,0.12392604133375949
170,yw.109B,0.11303431607542339
180,yw.109B,0.11842384668471632
190,yw.109B,0.10484513156493025
200,yw.109B,0.10877909609033777
210,yw.109B,0.09583883163075704
220,yw.109B,0.10120447846957913
230,yw.109B,0.1003404115418998
240,yw.109B,0.10060814242496476
250,yw.109B,0.10271385959305424
260,yw.109B,0.10255182619313065
270,yw.109B,0.10899981357196126
280,yw.109B,0.11394681474379464
290,yw.109B,0.11626619153793077
300,yw.109B,0.11388489400234375
10,shi.109B,0.10870409353520892
20,shi.109B,0.09734587108657006
30,shi.109B,0.10254008202833716
40,shi.109B,0.10102657004830931
50,shi.109B,0.10835663683818056
60,shi.109B,0.0935589112602537
70,shi.109B,0.09613526570048316
80,shi.109B,0.0959451901565996
90,shi.109B,0.09769271920570441
100,shi.109B,0.10297237373397292
110,shi.109B,0.08714811707680836
120,shi.109B,0.07915040876997403
130,shi.109B,0.10349785607755424
140,shi.109B,0.10033557046979881
150,shi.109B,0.0711492010405055
160,shi.109B,0.08524655108128275
170,shi.109B,0.07050009321401944
180,shi.109B,0.07414762170196959
190,shi.109B,0.07158370618941096
200,shi.109B,0.06242076808351981
210,shi.109B,0.07274344659826036
220,shi.109B,0.07670193263733532
230,shi.109B,0.09575688380856903
240,shi.109B,0.09750064844535236
250,shi.109B,0.08677060029828498
260,shi.109B,0.07354607952434045
270,shi.109B,0.09420907904548846
280,shi.109B,0.11877097315436239
290,shi.109B,0.1320071534745447
300,shi.109B,0.12638422818791942
