Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(110, 120]",0.12550335570469803,0.2550335570469799,0.11006711409395993,0.4973900074571227,0.08193979933110385,0.01204013377926422,0.03879598662207353,0.15752508361204065
"(120, 130]",0.10100334448160542,0.17759197324414736,0.15016722408026806,0.38164251207729455,0.06308724832214763,0.03322147651006708,0.1476510067114098,0.08221476510067129
"(130, 140]",0.09765100671140953,0.18154362416107436,0.17583892617449665,0.416107382550335,0.08221476510067131,0.12986577181208062,0.03523489932885901,0.11409395973154393
"(140, 150]",0.2644295302013419,0.2550335570469798,0.18758389261745015,0.40231170768083463,0.06220735785953179,0.07959866220735803,0.036120401337792596,0.056187290969899634
"(150, 160]",0.23177257525083578,0.3294314381270903,0.14782608695652227,0.3768115942028975,0.1875838926174498,0.04328859060402677,0.02483221476510066,0.18255033557047043
"(160, 170]",0.12181208053691303,0.2080536912751678,0.13758389261745005,0.42617449664429546,0.17718120805369145,0.07348993288590618,0.02147651006711409,0.08087248322147655
"(170, 180]",0.14247491638796048,0.2906354515050168,0.13645484949832812,0.3664065403195837,0.17926421404682283,0.08862876254180632,0.03143812709030097,0.07658862876254185
"(180, 190]",0.12483221476510109,0.17718120805369175,0.07953020134228192,0.2281879194630878,0.18691275167785243,0.07046979865771802,0.022818791946308696,0.09395973154362425
"(190, 200]",0.14630872483221516,0.25738255033557056,0.18590604026845647,0.38292319164802385,0.16409395973154375,0.1281879194630877,0.019463087248322138,0.1936241610738254
"(200, 210]",0.1896321070234117,0.28026755852842716,0.0806020066889631,0.3600891861761428,0.12541806020066923,0.037792642140468194,0.015384615384615384,0.21571906354515089
"(210, 220]",0.13322147651006788,0.21409395973154402,0.17449664429530268,0.375093214019389,0.09194630872483246,0.028523489932885875,0.016778523489932883,0.21342281879194655
"(220, 230]",0.18322147651006754,0.20939597315436287,0.17550335570469797,0.2997762863534688,0.02986577181208051,0.024832214765100665,0.013087248322147653,0.21174496644295362
"(230, 240]",0.21070234113712413,0.14180602006689,0.08227424749163907,0.36640654031958403,0.07357859531772576,0.042140468227424656,0.007023411371237461,0.1294314381270906
"(240, 250]",0.17953020134228206,0.16845637583892625,0.0721476510067115,0.4015659955257266,0.1187919463087251,0.12046979865771819,0.01241610738255034,0.11308724832214766
"(250, 260]",0.18791946308724797,0.177852348993289,0.15302013422818825,0.4440715883668904,0.0742474916387961,0.02876254180602005,0.06956521739130427,0.1839464882943143
"(260, 270]",0.20802675585284378,0.19063545150501732,0.1719063545150508,0.328874024526198,0.08993288590604034,0.1057046979865776,0.2110738255033558,0.1667785234899336
"(270, 280]",0.1838926174496651,0.17248322147651066,0.11409395973154399,0.40865026099925417,0.14093959731543673,0.04261744966442945,0.1805369127516784,0.1453020134228193
"(280, 290]",0.13657718120805362,0.3147651006711407,0.16510067114093996,0.3530947054436991,0.09464882943143826,0.05484949832775914,0.08294314381270923,0.1374581939799335
"(290, 300]",0.24882943143812758,0.33177257525083553,0.28327759197324404,0.46339650687476674,0.043959731543624085,0.015436241610738253,0.16879194630872532,0.3701342281879194
"(300, 310]",0.7429530201342289,0.7503355704698006,0.7164429530201348,0.7878448918717348,0.551006711409396,0.5738255033557053,0.07516778523489942,0.7057046979865761
"(310, 320]",0.7143812709030113,0.7729096989966552,0.8083612040133783,0.8325876211782222,0.6949832775919732,0.6959866220735788,0.3093645484949832,0.7056856187290955
"(320, 330]",0.7768456375838931,0.7184563758389257,0.8197986577181219,0.8387216648086184,0.6963087248322146,0.7446308724832209,0.7385906040268463,0.662416107382549
"(330, 340]",0.7362416107382557,0.7442953020134234,0.7208053691275175,0.8105891126025319,0.6852348993288591,0.7617449664429533,0.7466442953020132,0.6073825503355689
"(340, 350]",0.6849498327759186,0.7889632107023418,0.7244147157190631,0.77629134150873,0.7996655518394656,0.7287625418060198,0.6314381270902996,0.5237458193979935
"(350, 360]",0.8117449664429546,0.6567114093959713,0.733892617449664,0.7811334824757626,0.7177852348993292,0.7714765100671144,0.733557046979866,0.426174496644296
"(360, 370]",0.7493288590604033,0.6865771812080521,0.784899328859062,0.8445190156599529,0.7583892617449667,0.8469798657718138,0.7305369127516774,0.5248322147651009
"(370, 380]",0.6571906354515045,0.6769230769230756,0.7715719063545152,0.8573021181716809,0.7989966555183968,0.8207357859531784,0.6451505016722399,0.5153846153846149
"(380, 390]",0.7496644295302018,0.6617449664429512,0.70234899328859,0.8653989560029807,0.7241610738255034,0.8093959731543637,0.5761744966442955,0.41610738255033586
"(390, 400]",0.7496644295302008,0.7573825503355706,0.8389261744966464,0.7692020879940311,0.830434782608697,0.8137123745819407,0.6551839464882945,0.6060200668896311
"(400, 410]",0.6846153846153826,0.7993311036789305,0.8063545150501683,0.8922333704942386,0.7395973154362422,0.8137583892617468,0.6493288590604024,0.6560402684563756
"(410, 420]",0.807046979865773,0.7305369127516778,0.7647651006711403,0.8892617449664408,0.7290969899665545,0.7986622073578606,0.6070234113712369,0.5772575250836124
"(420, 430]",0.812416107382552,0.6382550335570458,0.7855704697986577,0.8310961968680054,0.7224832214765095,0.7610738255033566,0.6835570469798652,0.6144295302013423
"(430, 440]",0.7344481605351162,0.6939799331103683,0.8096989966555197,0.8324043106651777,0.7775167785234908,0.8248322147651019,0.6499999999999987,0.6805369127516782
"(440, 450]",0.7684563758389266,0.6959731543624144,0.8533557046979882,0.8184190902311674,0.7568561872909716,0.8010033444816071,0.6177852348993268,0.5976588628762539
"(450, 460]",0.7404682274247496,0.7583892617449666,0.82785234899329,0.7643549589858281,0.8040268456375842,0.8000000000000007,0.653511705685618,0.6879194630872492
"(460, 470]",0.736577181208055,0.7367892976588628,0.8802675585284302,0.7941285767372701,0.8231543624161094,0.8187919463087256,0.6244966442953004,0.7448160535117053
"(470, 480]",0.7899665551839472,0.6956375838926159,0.7973154362416117,0.7989594946116664,0.7842809364548503,0.8167224080267578,0.6598662207357856,0.6506711409395968
"(480, 490]",0.7818791946308729,0.7214046822742467,0.8197324414715736,0.729679343773301,0.8332214765100681,0.7523489932885915,0.6697986577181201,0.599664429530201
"(490, 500]",0.8023489932885923,0.7731543624161074,0.8523489932885923,0.7688292319164763,0.8434782608695666,0.8056856187290984,0.7387959866220729,0.5454849498327755
"(500, 510]",0.7886287625418059,0.7301003344481608,0.8257525083612068,0.8322147651006685,0.8057046979865787,0.7288590604026844,0.6328859060402678,0.6332214765100654
"(510, 520]",0.8030201342281901,0.7969798657718131,0.8909395973154381,0.7268673355629851,0.6385906040268449,0.7607382550335569,0.6765100671140927,0.7033557046979866
"(520, 530]",0.8134228187919486,0.7577181208053697,0.7748322147651029,0.8005219985085733,0.8284280936454869,0.7598662207357876,0.597324414715719,0.6628762541806018
"(530, 540]",0.8167224080267572,0.7846153846153854,0.7859531772575256,0.7205499814195439,0.7593959731543626,0.7372483221476509,0.7120805369127512,0.6546979865771805
"(540, 550]",0.8359060402684584,0.7963087248322157,0.8315436241610755,0.821401938851601,0.7164429530201348,0.7828859060402681,0.7003355704697978,0.6241610738255023
"(550, 560]",0.8208053691275179,0.7558528428093647,0.8347826086956546,0.7963582311408365,0.7775919732441472,0.7581939799331107,0.6294314381270892,0.6949832775919728
"(560, 570]",0.8829431438127109,0.746644295302014,0.8580536912751695,0.8139448173005197,0.7553691275167794,0.8063758389261759,0.7070469798657726,0.6687919463087253
"(570, 580]",0.8268456375838938,0.7812080536912752,0.8288590604026871,0.7874720357941809,0.7406040268456371,0.739597315436242,0.6748322147650999,0.627852348993288
"(580, 590]",0.8301003344481618,0.7344481605351177,0.8066889632107035,0.7807506503158652,0.7996655518394665,0.832107023411372,0.6234113712374569,0.710702341137124
"(590, 600]",0.7741610738255035,0.7432885906040271,0.7885906040268453,0.7505592841163292,0.813758389261746,0.8184563758389277,0.6741610738255028,0.7167785234899318
"(600, 610]",0.8352348993288605,0.76241610738255,0.8251677852349002,0.7665920954511531,0.7583892617449663,0.8184563758389274,0.6765100671140928,0.6634228187919464
"(610, 620]",0.812709030100336,0.7133779264214044,0.808695652173913,0.7770345596432529,0.7668896321070241,0.751170568561871,0.6411371237458185,0.7113712374581934
"(620, 630]",0.7832214765100671,0.7453020134228185,0.7617449664429534,0.7889634601043961,0.6697986577181206,0.7875838926174505,0.6104026845637581,0.7385906040268453
"(630, 640]",0.7593959731543612,0.7167785234899328,0.8244966442953036,0.8489932885906013,0.6812709030100343,0.8307692307692325,0.6458193979933105,0.7632107023411361
"(640, 650]",0.7772575250836133,0.7458193979933119,0.8234113712374599,0.804533630620584,0.6899328859060407,0.7436241610738247,0.6640939597315425,0.7479865771812089
"(650, 660]",0.7429530201342283,0.7530201342281885,0.7942953020134232,0.8023862788963432,0.733557046979864,0.803355704697987,0.7305369127516781,0.7540268456375835
"(660, 670]",0.79026845637584,0.7473154362416112,0.7953020134228185,0.7878448918717338,0.7337792642140458,0.8056856187290977,0.6498327759197301,0.7153846153846152
"(670, 680]",0.751505016722409,0.6521739130434765,0.7856187290969918,0.8706800445930863,0.6909395973154356,0.6771812080536906,0.557382550335571,0.6798657718120789
"(680, 690]",0.7704697986577181,0.7332214765100672,0.7352348993288587,0.7967934377330321,0.8459731543624184,0.7177852348993279,0.6214765100671127,0.6922818791946302
"(690, 700]",0.7264214046822742,0.747157190635452,0.732107023411371,0.7266964951528679,0.6826086956521737,0.7745819397993309,0.6016722408026751,0.7979933110367894
"(700, 710]",0.7352348993288589,0.737583892617449,0.7338926174496634,0.8502415458937168,0.7130872483221474,0.722818791946307,0.5533557046979855,0.7543624161073831
"(710, 720]",0.7130872483221475,0.7573825503355703,0.7359060402684561,0.819164802386276,0.707382550335571,0.7922818791946327,0.7208053691275171,0.7379194630872479
"(720, 730]",0.6802675585284284,0.7872909698996676,0.7347826086956526,0.8208844295800793,0.6709030100334453,0.6397993311036781,0.5996655518394637,0.7321070234113709
"(730, 740]",0.750671140939597,0.7557046979865781,0.7687919463087254,0.782624906785977,0.6399328859060409,0.7583892617449661,0.6124161073825494,0.6610738255033557
"(740, 750]",0.7436241610738258,0.7620805369127509,0.7768456375838932,0.8269947800149112,0.7174496644295302,0.6402684563758374,0.6684563758389247,0.676174496644295
"(750, 760]",0.7525083612040147,0.7772575250836121,0.7468227424749161,0.7688591601635053,0.6882943143812702,0.7739130434782622,0.5949832775919738,0.6849498327759184
"(760, 770]",0.766442953020135,0.7429530201342276,0.7473154362416121,0.841909023117074,0.7369127516778523,0.7684563758389263,0.6120805369127511,0.7275167785234884
"(770, 780]",0.7442953020134236,0.7983221476510077,0.754026845637584,0.8717375093214002,0.665551839464882,0.6555183946488292,0.6859531772575237,0.5963210702341142
"(780, 790]",0.7428093645484947,0.7224080267558527,0.7020066889632104,0.7495354886659205,0.7255033557046968,0.6983221476510063,0.5755033557046977,0.7177852348993295
"(790, 800]",0.7637583892617453,0.7355704697986568,0.7043624161073823,0.8381804623415334,0.6718120805369118,0.6634228187919456,0.6285234899328854,0.700335570469799
"(800, 810]",0.7114093959731536,0.7802013422818801,0.6869127516778519,0.8225205070842623,0.6983277591973258,0.6347826086956521,0.5735785953177264,0.6876254180602009
"(810, 820]",0.663879598662207,0.736120401337792,0.6317725752508362,0.8078781122259354,0.6674496644295292,0.6476510067114081,0.6040268456375835,0.680872483221477
"(820, 830]",0.7281879194630878,0.6419463087248315,0.6845637583892623,0.7870991797166265,0.6479865771812076,0.6906040268456366,0.6372483221476494,0.6573825503355697
"(830, 840]",0.74247491638796,0.7751677852348994,0.7422818791946311,0.8337061894108843,0.6769230769230756,0.6966555183946487,0.5581939799331097,0.5953177257525097
"(840, 850]",0.7171140939597306,0.7217391304347832,0.6424749163879591,0.8149386845038986,0.7298657718120807,0.7026845637583895,0.616107382550335,0.5785234899328863
"(850, 860]",0.7355704697986584,0.7654362416107383,0.6295302013422811,0.8381804623415338,0.6241610738255033,0.5959731543624165,0.6040268456375834,0.6744966442953022
"(860, 870]",0.6969899665551841,0.7622073578595333,0.6588628762541802,0.7205499814195439,0.6812709030100332,0.6060200668896321,0.6240802675585283,0.6648829431438124
"(870, 880]",0.6818791946308709,0.7798657718120805,0.6218120805369122,0.7494407158836663,0.6798657718120805,0.6718120805369115,0.44597315436241614,0.6600671140939585
"(880, 890]",0.7392617449664418,0.7412751677852342,0.5593959731543632,0.8020134228187895,0.5661073825503352,0.6174496644295305,0.5610738255033555,0.6506711409395962
"(890, 900]",0.7016722408026748,0.7986622073578603,0.5752508361204001,0.784838350055738,0.665886287625417,0.5933110367892969,0.5909698996655518,0.6802675585284271
"(900, 910]",0.7634228187919475,0.8204697986577205,0.6932885906040266,0.7580164056674087,0.678187919463087,0.6869127516778526,0.6701342281879193,0.6218120805369118
"(910, 920]",0.811073825503357,0.8231543624161078,0.6046979865771807,0.6659209545115568,0.655183946488293,0.6618729096989958,0.6080267558528419,0.6414715719063534
"(920, 930]",0.7471571906354509,0.7324414715719061,0.6946488294314375,0.7120029728725352,0.593959731543624,0.6624161073825493,0.6516778523489923,0.721476510067115
"(930, 940]",0.7701342281879201,0.7738255033557047,0.6268456375838918,0.6644295302013405,0.658724832214765,0.738590604026846,0.688590604026845,0.7137583892617442
"(940, 950]",0.7634228187919464,0.730201342281879,0.5003355704697986,0.6539895600298266,0.7230769230769232,0.576588628762543,0.6565217391304342,0.6173913043478254
"(950, 960]",0.7501672240802671,0.7080267558528414,0.5424749163879597,0.7264957264957232,0.5956375838926162,0.6151006711409391,0.6469798657718112,0.5979865771812074
"(960, 970]",0.6469798657718108,0.7355704697986586,0.5221476510067115,0.6804623415361655,0.611073825503354,0.6885906040268452,0.6375838926174491,0.6382550335570465
"(970, 980]",0.746644295302013,0.6953020134228175,0.6191275167785234,0.7486950037285578,0.6692307692307686,0.7294314381270903,0.5872909698996649,0.6725752508361196
"(980, 990]",0.6993311036789309,0.7033444816053499,0.5862876254180599,0.6384243775548112,0.6788590604026843,0.6852348993288591,0.6204697986577172,0.704362416107382
"(990, 1000]",0.7040268456375826,0.7446308724832215,0.5959731543624165,0.6562266964951504,0.7560402684563763,0.7151006711409392,0.6617449664429538,0.6798657718120795
"(1000, 1010]",0.6749163879598665,0.6969899665551835,0.6133779264214038,0.681531029357114,0.7010033444816051,0.5933110367892973,0.6622073578595311,0.620066889632107
"(1010, 1020]",0.728859060402685,0.72986577181208,0.6161073825503358,0.716629381058909,0.6600671140939595,0.5654362416107377,0.6331103678929761,0.75234899328859
"(1020, 1030]",0.6798657718120803,0.6822147651006717,0.6761744966442944,0.6644295302013394,0.7772575250836131,0.6301003344481598,0.5651006711409395,0.7371237458193985
"(1030, 1040]",0.7371237458193978,0.7408026755852851,0.5953177257525073,0.6703827573392769,0.6348993288590585,0.6986577181208052,0.5493288590604022,0.6835570469798652
