Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(190, 200]",0.1677852348993294,0.15000000000000088,0.09899328859060413,0.020469798657718117,0.037751677852348994,0.09656972408650236,0.10973154362416145,0.0956375838926177
"(200, 210]",0.16923076923076955,0.14147157190635487,0.10836120401337802,0.051170568561872826,0.010033444816053512,0.1690821256038649,0.09966555183946489,0.06354515050167224
"(210, 220]",0.12013422818791966,0.20671140939597304,0.13288590604026868,0.07248322147651019,0.02097315436241611,0.23266219239373662,0.07416107382550334,0.036577181208053644
"(220, 230]",0.18590604026845683,0.2043624161073825,0.14731543624161111,0.09966442953020138,0.04236577181208054,0.20320656226696512,0.052348993288590495,0.10268456375838944
"(230, 240]",0.20000000000000054,0.16588628762541852,0.2836120401337791,0.0876254180602007,0.06145484949832776,0.14344109996283924,0.07759197324414728,0.12474916387959899
"(240, 250]",0.1516778523489937,0.237919463087248,0.15201342281879232,0.056040268456375754,0.12332214765100671,0.11968680089485464,0.08624161073825504,0.08791946308724838
"(250, 260]",0.2476510067114093,0.29765100671140904,0.12583892617449682,0.05134228187919455,0.05142140468227425,0.14567075436640659,0.06822742474916396,0.1956521739130435
"(260, 270]",0.17725752508361234,0.3441471571906352,0.09899665551839483,0.03545150501672236,0.05578859060402685,0.11483967188665159,0.09932885906040269,0.2563758389261744
"(270, 280]",0.26107382550335617,0.2432885906040266,0.1302013422818794,0.07013422818791944,0.05327181208053691,0.11633109619686793,0.1469798657718124,0.1097315436241612
"(280, 290]",0.20503355704698015,0.1842281879194636,0.0885906040268458,0.01107382550335571,0.1500836120401338,0.1545893719806765,0.10234113712374603,0.10735785953177289
"(290, 300]",0.3207357859531769,0.25585284280936454,0.1377926421404683,0.020066889632107007,0.14135906040268456,0.07009694258016393,0.3647651006711409,0.37785234899328835
"(300, 310]",0.74261744966443,0.69765100671141,0.590939597315436,0.5171140939597311,0.6098993288590604,0.032438478747203535,0.7677852348993311,0.8325503355704715
"(310, 320]",0.8157190635451517,0.8003344481605359,0.7204697986577179,0.7348993288590601,0.6279264214046822,0.3771832032701595,0.8167224080267577,0.7969899665551845
"(320, 330]",0.7761744966442947,0.7909395973154373,0.7280936454849499,0.7565217391304351,0.7323825503355704,0.7915734526472755,0.8305369127516804,0.8177852348993303
"(330, 340]",0.7751677852348995,0.7590604026845638,0.8174496644295319,0.6728187919463082,0.6950503355704698,0.8143176733780736,0.8583892617449672,0.8369127516778536
"(340, 350]",0.7872909698996658,0.7200668896321075,0.8491638795986626,0.7779264214046832,0.7261705685618729,0.7785209959122976,0.8602006688963235,0.8086956521739143
"(350, 360]",0.845973154362419,0.6979865771812072,0.8379194630872498,0.8181208053691292,0.7713926174496645,0.8363161819537628,0.8563758389261759,0.8714765100671164
"(360, 370]",0.7842281879194635,0.566442953020134,0.8818791946308737,0.7902684563758395,0.7445469798657718,0.7792692020879917,0.8573825503355726,0.7332214765100658
"(370, 380]",0.7698996655518412,0.7615384615384632,0.8555183946488312,0.8227424749163894,0.6622073578595318,0.7053140096618329,0.870234113712376,0.8264214046822755
"(380, 390]",0.810402684563758,0.8281879194630889,0.8365771812080556,0.8369127516778541,0.6539429530201343,0.8053691275167748,0.869798657718123,0.7919463087248327
"(390, 400]",0.786241610738256,0.7389261744966449,0.8067114093959745,0.8154362416107391,0.745819397993311,0.7562244518766222,0.8565217391304364,0.788963210702342
"(400, 410]",0.8076923076923093,0.7775919732441473,0.8424749163879622,0.8284280936454863,0.6740771812080537,0.7807606263982075,0.8848993288590623,0.8500000000000016
"(410, 420]",0.7973154362416124,0.8063758389261758,0.803020134228189,0.869127516778526,0.7186454849498328,0.7759197324414677,0.8695652173913068,0.7561872909699004
"(420, 430]",0.8281879194630878,0.8184563758389274,0.8046979865771807,0.874161073825506,0.7491610738255033,0.7874720357941802,0.8513422818791964,0.8385906040268475
"(430, 440]",0.8103678929765896,0.7879598662207374,0.8247491638795997,0.8103678929765901,0.7302852348993288,0.7695749440715847,0.8389261744966453,0.8308724832214776
"(440, 450]",0.7459731543624157,0.8298657718120821,0.8171140939597323,0.822147651006713,0.705267558528428,0.6759880686055163,0.8555183946488314,0.7989966555183948
"(450, 460]",0.772240802675585,0.8755033557046993,0.7993288590604035,0.8966442953020163,0.7458053691275168,0.805648457822368,0.8895973154362434,0.7476510067114087
"(460, 470]",0.8104026845637591,0.8003344481605362,0.8411371237458211,0.9080267558528448,0.7885906040268457,0.7837434750186397,0.7826086956521748,0.8411371237458217
"(470, 480]",0.8123745819398008,0.8208053691275176,0.8254180602006705,0.8438127090301024,0.7663043478260869,0.7421033073206953,0.809060402684565,0.8107382550335585
"(480, 490]",0.7875838926174499,0.7892976588628768,0.8812080536912777,0.843959731543627,0.799496644295302,0.7703206562266931,0.8610738255033573,0.7902684563758383
"(490, 500]",0.7768456375838939,0.7865771812080538,0.8630872483221496,0.8708053691275193,0.6705685618729097,0.7179487179487152,0.8515050167224089,0.7494983277591974
"(500, 510]",0.8066889632107028,0.826421404682275,0.8775167785234922,0.8318791946308729,0.8288590604026845,0.7781506338553292,0.7624161073825515,0.7845637583892623
"(510, 520]",0.8114093959731556,0.8134228187919473,0.8595317725752535,0.8742474916387983,0.7827181208053692,0.7960477255779246,0.871476510067116,0.7546979865771822
"(520, 530]",0.8144295302013435,0.7963087248322158,0.870805369127519,0.8647651006711428,0.8156354515050167,0.7365291713117766,0.8371237458193996,0.7070234113712374
"(530, 540]",0.794648829431439,0.8458193979933122,0.8324414715719072,0.8424749163879611,0.7751677852348994,0.7143922445935833,0.8234899328859074,0.7439597315436244
"(540, 550]",0.7154362416107383,0.853355704697989,0.8587248322147678,0.8500000000000019,0.7546140939597316,0.738255033557045,0.8580536912751694,0.8261744966442971
"(550, 560]",0.7453020134228188,0.7983277591973255,0.857190635451507,0.8464882943143824,0.790133779264214,0.7179487179487161,0.8080267558528434,0.7762541806020066
"(560, 570]",0.7993311036789307,0.8208053691275177,0.8570469798657732,0.8181208053691287,0.7340604026845637,0.765846383296044,0.7718120805369136,0.7362416107382547
"(570, 580]",0.8181208053691296,0.8244966442953042,0.8530201342281895,0.8449664429530207,0.7495805369127517,0.8031319910514508,0.8721476510067127,0.7842281879194628
"(580, 590]",0.7926421404682267,0.7899665551839478,0.8471571906354536,0.8193979933110382,0.7144648829431438,0.7788926049795586,0.8478260869565234,0.7207357859531757
"(590, 600]",0.8580536912751694,0.8177852348993307,0.8473154362416127,0.8177852348993301,0.6984060402684564,0.7677106636838166,0.8050335570469817,0.7087248322147638
"(600, 610]",0.7640939597315446,0.8140939597315441,0.818456375838928,0.7657718120805368,0.7076342281879194,0.7363907531692736,0.8496644295302032,0.7563758389261747
"(610, 620]",0.7080267558528429,0.7899665551839469,0.8725752508361219,0.8301003344481626,0.7211538461538461,0.7766629505759916,0.8364548494983296,0.7949832775919737
"(620, 630]",0.8295302013422828,0.8765100671140951,0.8318791946308743,0.7862416107382554,0.6547818791946308,0.7882177479492887,0.8708053691275188,0.8255033557046989
"(630, 640]",0.7530201342281874,0.846644295302015,0.8171140939597326,0.833557046979867,0.7232441471571907,0.6949089557785173,0.8337792642140476,0.7451505016722412
"(640, 650]",0.8170568561872912,0.8394648829431455,0.8414715719063559,0.7769230769230776,0.760486577181208,0.7423564504101384,0.8466442953020148,0.7889261744966437
"(650, 660]",0.8406040268456392,0.826510067114095,0.8402684563758404,0.7815436241610746,0.6996644295302014,0.6931394481730039,0.8063758389261754,0.771140939597316
"(660, 670]",0.8285234899328877,0.8063758389261764,0.8046979865771828,0.7812080536912765,0.7324414715719063,0.7153474544778867,0.8264214046822755,0.7585284280936465
"(670, 680]",0.8344481605351189,0.8274247491638804,0.8043478260869584,0.7678929765886295,0.81501677852349,0.8090976882923157,0.8271812080536933,0.7751677852348998
