time_elapsed,replicate_1,replicate_2,replicate_3,replicate_4,replicate_5,replicate_6,replicate_7,replicate_8,replicate_9,replicate_10,replicate_11,replicate_12,replicate_13,replicate_14,replicate_15,replicate_16
"(0, 10]",0.10100671140939611,0.16040268456375825,0.11510067114093978,0.10234899328859054,0.005704697986577182,0.05503355704697974,0.11140939597315483,0.0026845637583892616,0.0345637583892617,0.1298657718120809,0.011592434411226352,0.19899328859060428,0.11442953020134267,0.02606267452683833,0.025167785234899293,0.038926174496644234
"(10, 20]",0.13187919463087286,0.1181208053691275,0.13993288590604086,0.053020134228187854,0.03322147651006706,0.05100671140939585,0.10939597315436297,0.0,0.04261744966442947,0.09798657718120816,0.0009151921903599755,0.1916107382550336,0.11644295302013459,0.0256253813300793,0.02651006711409392,0.22953020134228186
"(20, 30]",0.14966442953020187,0.12416107382550362,0.1637583892617455,0.04899328859060394,0.0392617449664429,0.057718120805369054,0.09261744966442981,0.00771812080536913,0.014765100671140941,0.02181208053691274,0.010067114093959727,0.12046979865771881,0.15973154362416148,0.0067114093959731525,0.006040268456375841,0.20939597315436217
"(30, 40]",0.09397993311036813,0.17625418060200707,0.09799331103678938,0.01739130434782608,0.009364548494983282,0.026421404682274215,0.048829431438126986,0.026755852842809333,0.014381270903010036,0.041471571906354435,0.02493159014898144,0.06622073578595325,0.16923076923077005,0.06932198236546076,0.031772575250836085,0.26889632107023415
"(40, 50]",0.11040268456375829,0.08422818791946313,0.05872483221476508,0.025838926174496613,0.002348993288590604,0.00939597315436242,0.12348993288590653,0.06308724832214764,0.05838926174496631,0.06208053691275161,0.014643075045759603,0.022483221476510055,0.12617449664429556,0.05155582672361204,0.019127516778523486,0.18322147651006812
"(50, 60]",0.1362416107382555,0.15805369127516844,0.043959731543624134,0.01879194630872483,0.012080536912751686,0.03288590604026842,0.057046979865771716,0.06711409395973149,0.060402684563758365,0.009731543624161077,0.023794996949359347,0.09496644295302006,0.1224832214765105,0.05295378022650754,0.026510067114093924,0.1778523489932892
"(60, 70]",0.07257525083612033,0.0849498327759199,0.1177257525083614,0.029431438127090287,0.0046822742474916385,0.009030100334448165,0.11371237458193999,0.028428093645484914,0.0471571906354514,0.0240802675585284,0.04287017330495601,0.1180602006688964,0.02374581939799329,0.013681970203709325,0.02474916387959865,0.17090301003344546
"(70, 80]",0.1275167785234903,0.06610738255033557,0.16677852348993338,0.03288590604026839,0.008053691275167788,0.02348993288590601,0.12818791946308775,0.030536912751677834,0.07483221476510064,0.04194630872483214,0.014948139109212924,0.05369127516778513,0.05738255033557045,0.10341671751067738,0.041946308724832126,0.16308724832214821
"(80, 90]",0.05384615384615376,0.05886287625418058,0.032441471571906313,0.0016722408026755853,0.06789297658862871,0.006020066889632108,0.09264214046822782,0.05451505016722402,0.0424749163879598,0.013712374581939805,0.010641532380662812,0.09364548494983285,0.03255033557046976,0.06375838926174499,0.017785234899328848,0.17852348993288628
"(90, 100]",0.04563758389261736,0.07785234899328858,0.10570469798657736,0.0036912751677852344,0.03892617449664422,0.028187919463087206,0.0681208053691276,0.0050335570469798654,0.03557046979865766,0.025838926174496638,0.019219035997559475,0.08489932885906072,0.02709030100334444,0.024627546366676786,0.0030100334448160534,0.13779264214046885
"(100, 110]",0.07248322147651007,0.13120805369127525,0.11308724832214802,0.008389261744966446,0.0,0.0,0.17718120805369159,0.0214765100671141,0.05939597315436237,0.004697986577181208,0.046064673581452255,0.06946308724832226,0.036577181208053644,0.011592434411226354,0.006375838926174498,0.12684563758389303
"(110, 120]",0.07090301003344475,0.1297658862876258,0.06287625418060196,0.03946488294314375,0.0,0.008026755852842812,0.1367892976588632,0.018729096989966543,0.08494983277591978,0.02541806020066887,0.008209182122225598,0.018729096989966543,0.04180602006688956,0.020979020979020966,0.03511705685618725,0.15150501672240851
"(120, 130]",0.03590604026845632,0.07885906040268463,0.08557046979865783,0.06979865771812085,0.00033557046979865775,0.01375838926174497,0.0671140939597315,0.046308724832214675,0.03355704697986571,0.05268456375838917,0.0030506406345332526,0.09966442953020162,0.050335570469798536,0.04942037827943874,0.03523489932885901,0.1600671140939604
"(130, 140]",0.03590604026845634,0.08892617449664444,0.14228187919463106,0.016107382550335576,0.020805369127516758,0.06342281879194633,0.08758389261744998,0.026510067114093934,0.061744966442953006,0.02147651006711408,0.046064673581452234,0.061409395973154354,0.0610738255033557,0.04545454545454554,0.00033898305084745765,0.12508474576271247
"(140, 150]",0.06655518394648827,0.06120401337792642,0.11739130434782635,0.0,0.08461538461538462,0.056187290969899537,0.10702341137123801,0.00836120401337793,0.03612040133779261,0.08428093645484974,0.04469443599878386,0.03444816053511707,0.0066889632107023445,0.018546670720583754,0.02474916387959864,0.1953177257525093
"(150, 160]",0.08322147651006724,0.0493288590604026,0.1030201342281879,0.0,0.016778523489932883,0.030536912751677827,0.11711409395973202,0.03120805369127515,0.048657718120805264,0.10771812080536947,0.043929225137278934,0.03758389261744961,0.016107382550335565,0.08572300183038442,0.008389261744966446,0.16308724832214846
"(160, 170]",0.03389261744966438,0.10100671140939611,0.0919463087248324,0.0,0.0,0.0275167785234899,0.1949664429530207,0.042953020134228116,0.03523489932885901,0.04295302013422811,0.04667480170835888,0.043959731543624085,0.02248322147651006,0.10738255033557063,0.012080536912751684,0.16744966442953096
"(170, 180]",0.03444816053511699,0.06387959866220737,0.1414715719063546,0.012374581939799336,0.08628762541806025,0.019732441471571893,0.10769230769230827,0.06822742474916392,0.05117056856187281,0.08829431438127087,0.08117968987534212,0.04648829431438121,0.010367892976588631,0.04743083003952577,0.0066889632107023445,0.12441471571906365
"(180, 190]",0.11677852348993309,0.05906040268456373,0.2258389261744969,0.015436241610738253,0.05604026845637577,0.02248322147651004,0.09765100671140985,0.07986577181208057,0.030201342281879182,0.09731543624161106,0.027760829774252583,0.08758389261744987,0.03926174496644289,0.0231848688224527,0.01778523489932886,0.2265100671140941
"(190, 200]",0.08489932885906046,0.04496644295302006,0.18859060402684646,0.025838926174496634,0.014765100671140941,0.022483221476510048,0.06275167785234903,0.03825503355704693,0.07617449664429543,0.08926174496644315,0.022269676632092724,0.060402684563758295,0.08020134228187939,0.03294691885295916,0.06845637583892604,0.17818791946308823
"(200, 210]",0.02274247491638794,0.04013377926421403,0.21270903010033454,0.021070234113712363,0.011371237458193987,0.08494983277591986,0.09498327759197354,0.056521739130434706,0.014715719063545152,0.04147157190635444,0.016722408026755845,0.11337792642140475,0.005351170568561874,0.005168744299179081,0.08260869565217398,0.16454849498327814
"(210, 220]",0.022818791946308696,0.08288590604026853,0.28523489932885865,0.0006711409395973155,0.014765100671140941,0.01946308724832213,0.09261744966442986,0.02651006711409394,0.025838926174496617,0.026510067114093937,0.030811470408785863,0.020469798657718113,0.014765100671140943,0.05216595485051879,0.07483221476510082,0.17483221476510102
"(220, 230]",0.03946488294314372,0.06555183946488301,0.2702341137123749,0.03791946308724827,0.01204013377926422,0.014381270903010036,0.11342281879194696,0.029865771812080503,0.05551839464882933,0.09331103678929785,0.018850714502888406,0.05838926174496634,0.027181208053691244,0.03386211104331911,0.029530201342281827,0.17281879194630947
"(230, 240]",0.024496644295301986,0.02382550335570467,0.3040268456375838,0.005351170568561874,0.012416107382550343,0.030201342281879172,0.09498327759197368,0.06655518394648838,0.062080536912751644,0.05637583892617441,0.05094569859670538,0.023076923076923068,0.024080267558528413,0.09030100334448177,0.008695652173913047,0.22842809364548466
"(240, 250]",0.06644295302013417,0.09026845637583907,0.26208053691275235,0.0010067114093959733,0.007046979865771812,0.11375838926174509,0.0630872483221476,0.0369127516778523,0.08288590604026856,0.09664429530201343,0.058877364246491884,0.0369127516778523,0.022147651006711403,0.0607087827426812,0.05302013422818779,0.18758389261745065
"(250, 260]",0.04782608695652164,0.1123745819397994,0.3906354515050171,0.016387959866220738,0.0,0.026421404682274233,0.065551839464883,0.08160535117056887,0.031772575250836065,0.1110367892976592,0.043478260869565286,0.0237458193979933,0.014715719063545152,0.009121313469139558,0.21404682274247464,0.13277591973244168
"(260, 270]",0.020134228187919448,0.04697986577181197,0.25637583892617505,0.024161073825503334,0.02013422818791945,0.111073825503356,0.08892617449664449,0.19026845637583933,0.04899328859060396,0.1036912751677856,0.05369127516778526,0.006711409395973156,0.028859060402684537,0.01677852348993288,0.2832214765100669,0.06275167785234882
"(270, 280]",0.008053691275167788,0.04563758389261737,0.255704697986577,0.004362416107382551,0.011409395973154369,0.07516778523489932,0.1174496644295306,0.14496644295302058,0.01375838926174497,0.11375838926174535,0.06589383770591832,0.019463087248322145,0.02483221476510065,0.05003050640634545,0.3036912751677848,0.08255033557047
"(280, 290]",0.018729096989966554,0.07458193979933123,0.21839464882943158,0.016387959866220728,0.004013377926421404,0.037458193979933066,0.040468227424749086,0.1357859531772579,0.04080267558528422,0.021070234113712383,0.07692307692307677,0.0525083612040133,0.052173913043478154,0.04712678625722112,0.24481605351170532,0.04448160535117048
"(290, 300]",0.07214765100671136,0.07080536912751677,0.2681208053691277,0.015100671140939598,0.0036912751677852344,0.011744966442953026,0.048322147651006626,0.10369127516778548,0.2573825503355705,0.2758389261744965,0.25137278828554,0.11006711409395975,0.03859060402684559,0.019524100061012798,0.19328859060402723,0.011744966442953026
"(300, 310]",0.4788590604026846,0.12986577181208048,0.4332214765100668,0.37147651006711424,0.01308724832214766,0.010402684563758395,0.34932885906040245,0.11275167785234898,0.5922818791946304,0.7003355704697987,0.5515558267236111,0.3835570469798661,0.2694630872483219,0.1748017083587554,0.1711409395973155,0.16744966442953022
"(310, 320]",0.6953177257525082,0.6595317725752501,0.7575250836120406,0.47257525083611995,0.3678929765886287,0.3444816053511705,0.5959866220735782,0.6926421404682277,0.6170568561872901,0.7317725752508355,0.591365156582546,0.6160535117056853,0.5411371237458198,0.7169352386743668,0.5163879598662209,0.5675585284280938
"(320, 330]",0.6909395973154353,0.8000000000000016,0.7859060402684567,0.5832214765100665,0.709395973154362,0.6520134228187919,0.7345637583892615,0.735570469798657,0.6161073825503347,0.7281879194630877,0.6931055521659532,0.6889261744966454,0.6483221476510052,0.7882855399633899,0.6704697986577165,0.6151006711409386
"(330, 340]",0.6644295302013415,0.7892617449664437,0.7110738255033545,0.670134228187919,0.7006711409395964,0.7348993288590596,0.7211409395973158,0.7885906040268459,0.6785234899328851,0.760402684563759,0.7199511897498444,0.7275167785234908,0.5422818791946312,0.7599145820622302,0.7077181208053682,0.5647651006711399
"(340, 350]",0.6331103678929757,0.7046822742474913,0.5705685618729085,0.7153846153846156,0.7093645484949834,0.7642140468227433,0.6963210702341132,0.7578595317725756,0.7304347826086964,0.7120401337792639,0.6980845241714784,0.726086956521739,0.4284280936454858,0.7178473700212805,0.7247491638795984,0.4996655518394649
"(350, 360]",0.6124161073825499,0.692953020134228,0.6023489932885892,0.5755033557046974,0.7486577181208061,0.7459731543624157,0.774496644295302,0.7473154362416111,0.6922818791946309,0.731208053691275,0.7321537522879771,0.7758389261744971,0.5520134228187913,0.6995118974984724,0.6483221476510048,0.49295302013422876
"(360, 370]",0.5785234899328853,0.672483221476509,0.5499999999999994,0.6553691275167776,0.6543624161073825,0.7963087248322163,0.7590604026845635,0.7912751677852354,0.6708053691275147,0.7567114093959731,0.7498474679682711,0.6855704697986565,0.522147651006712,0.6909701037217799,0.59496644295302,0.5033557046979867
"(370, 380]",0.6157190635451502,0.5906354515050161,0.552173913043477,0.6478260869565202,0.7531772575250854,0.7220735785953165,0.7892976588628762,0.7715719063545159,0.7588628762541814,0.7287625418060206,0.8257829127394314,0.7665551839464892,0.5889632107023403,0.6287625418060189,0.5311036789297654,0.46555183946488293
"(380, 390]",0.6399328859060405,0.5614093959731539,0.5338926174496648,0.5473154362416109,0.76040268456376,0.7822147651006723,0.7681208053691275,0.8261744966442971,0.701006711409396,0.7496644295302016,0.7727272727272695,0.7869127516778543,0.5530201342281875,0.6128737034777297,0.6489932885906035,0.6026845637583881
"(390, 400]",0.7481605351170578,0.7397993311036788,0.5190635451505025,0.6257525083612034,0.7327759197324409,0.7668896321070239,0.7120401337792628,0.7792642140468236,0.6976588628762554,0.7170568561872905,0.8330799635147431,0.8347826086956543,0.6678929765886275,0.6269382791121908,0.6625418060200675,0.6290969899665548
"(400, 410]",0.6318791946308719,0.7117449664429528,0.6697986577181203,0.6848993288590596,0.753020134228187,0.7315436241610733,0.7852348993288596,0.8305369127516797,0.7624161073825491,0.7332214765100655,0.8288590604026824,0.7895973154362435,0.6718120805369133,0.6955460646735784,0.5986577181208039,0.673154362416107
"(410, 420]",0.6513422818791927,0.7107382550335563,0.6328859060402682,0.6315436241610721,0.7671140939597326,0.7906040268456384,0.7533557046979871,0.7781879194630876,0.7234899328859058,0.7167785234899315,0.8227577791336161,0.7942953020134237,0.6453020134228176,0.6790726052470998,0.6674496644295296,0.6473154362416089
"(420, 430]",0.6565217391304338,0.6903010033444803,0.622742474916388,0.6311036789297645,0.7819397993311042,0.7698996655518404,0.8020066889632121,0.774916387959867,0.6899665551839462,0.6956521739130437,0.7376102158710824,0.7819397993311047,0.6290969899665546,0.6634235329887481,0.7779264214046836,0.7040133779264213
"(430, 440]",0.6627516778523488,0.6312080536912758,0.6063758389261741,0.6936241610738253,0.7540268456375842,0.7147651006711401,0.8369127516778536,0.7932885906040278,0.763422818791948,0.6973154362416109,0.7599145820622307,0.7610738255033559,0.7013422818791953,0.6888346552776056,0.7167785234899327,0.7409395973154349
"(440, 450]",0.7234899328859068,0.7463087248322143,0.526845637583892,0.6758389261744964,0.7560402684563771,0.7996644295302032,0.8104026845637602,0.8191275167785238,0.8164429530201365,0.7295302013422823,0.8279438682123221,0.7503355704697993,0.736577181208054,0.6201952410006084,0.7291946308724838,0.7664429530201334
"(450, 460]",0.657190635451504,0.6635451505016724,0.5729096989966546,0.6725752508361196,0.8177257525083624,0.7153846153846152,0.7662207357859542,0.8053511705685632,0.8127090301003354,0.7287625418060204,0.7768318637883832,0.708026755852843,0.7501672240802685,0.6743691091517151,0.6819397993311027,0.7367892976588645
"(460, 470]",0.6979865771812069,0.7290969899665556,0.6374581939799329,0.6708053691275161,0.843288590604029,0.7701342281879194,0.7879598662207368,0.7394648829431439,0.7500000000000003,0.7516778523489939,0.7739475289810834,0.7575250836120405,0.7687919463087259,0.6629042098840736,0.7083892617449665,0.72751677852349
"(470, 480]",0.7147157190635446,0.7110738255033553,0.5664429530201335,0.6715719063545136,0.746153846153846,0.7036789297658873,0.8201342281879209,0.8016778523489942,0.7530201342281893,0.6523489932885898,0.7658862876254144,0.6962962962962966,0.7744966442953028,0.6802928615009126,0.6479729729729714,0.7422297297297309
"(480, 490]",0.7020134228187904,0.6664429530201337,0.5989932885906043,0.6302013422818785,0.8040268456375849,0.7590604026845644,0.8124161073825521,0.8201342281879218,0.7668896321070237,0.6953177257525106,0.7699816961561899,0.7939799331103689,0.7866220735785955,0.6953481301307369,0.7023411371237457,0.7050167224080276
"(490, 500]",0.7070234113712365,0.7662207357859534,0.5491638795986614,0.7177257525083618,0.8200668896321088,0.779933110367893,0.786622073578597,0.7986622073578593,0.778260869565217,0.702341137123745,0.7850410459106082,0.7402684563758397,0.7614093959731556,0.5466748017083579,0.7546979865771822,0.7741610738255045
"(500, 510]",0.6657718120805369,0.7369127516778521,0.6040268456375828,0.7221476510067105,0.7516778523489921,0.7315436241610743,0.8674496644295325,0.7912751677852351,0.761409395973154,0.7261744966442949,0.7467968273337374,0.7013377926421392,0.8057046979865774,0.6641244661378873,0.7345637583892618,0.7231543624161083
"(510, 520]",0.6963087248322141,0.695637583892617,0.5744966442953019,0.6620805369127515,0.7302013422818795,0.791946308724833,0.8402684563758395,0.8127516778523509,0.657046979865771,0.7040268456375822,0.7910311165344693,0.6932885906040269,0.7635451505016727,0.6430525995743377,0.7775919732441485,0.786622073578596
"(520, 530]",0.7337792642140469,0.6642140468227407,0.5899665551839456,0.6548494983277584,0.8020066889632118,0.8063545150501678,0.8565217391304372,0.772909698996655,0.7267558528428093,0.722408026755853,0.7442991790817852,0.7170568561872913,0.6741610738255026,0.6775472849298342,0.6590604026845635,0.7664429530201341
"(530, 540]",0.7181208053691275,0.7033557046979857,0.48624161073825506,0.6312080536912746,0.801677852348994,0.7704697986577196,0.8043624161073837,0.7932885906040277,0.754026845637583,0.7523489932885907,0.7138499084807776,0.6557046979865767,0.7167224080267542,0.6314826113483812,0.6536912751677846,0.735906040268456
"(540, 550]",0.6600671140939596,0.7030201342281889,0.5305369127516785,0.7077181208053683,0.6771812080536905,0.8026845637583904,0.7268456375838932,0.7573825503355701,0.726845637583892,0.7456375838926179,0.7403904820012183,0.7167785234899329,0.7483221476510071,0.6539981757373052,0.6575250836120393,0.7113712374581933
"(550, 560]",0.6240802675585275,0.6214046822742467,0.4899665551839464,0.6311036789297654,0.7916387959866233,0.7284280936454839,0.8117056856187309,0.8304347826086974,0.6698996655518389,0.7076923076923078,0.7917300091213106,0.7428093645484938,0.6251677852348991,0.611958511287369,0.7489932885906047,0.6755033557046964
"(560, 570]",0.7302013422818793,0.6939597315436243,0.5916107382550331,0.6406040268456363,0.7520134228187928,0.7872483221476516,0.8134228187919473,0.7872483221476522,0.713087248322148,0.6533557046979869,0.761134838316044,0.7093959731543618,0.6809364548494979,0.6436606871389464,0.7307692307692306,0.6752508361204015
"(570, 580]",0.701006711409397,0.6536912751677845,0.5416107382550328,0.6395973154362413,0.7510067114093962,0.7768456375838932,0.8013422818791961,0.7285234899328865,0.6654362416107373,0.6744966442953012,0.7949969493593622,0.7342281879194628,0.6543624161073824,0.6598535692495405,0.6812080536912747,0.7499999999999998
