time_elapsed,replicate_1,replicate_2,replicate_3,replicate_4,replicate_5,replicate_6,replicate_7,replicate_8,replicate_9,replicate_10,replicate_11,replicate_12,time_elapsed.1,replicate_13,replicate_14,replicate_15
"(0, 10]",0.03281133482475759,0.2107382550335572,0.06610738255033549,0.08422818791946317,0.03087248322147648,0.07181208053691267,0.022147651006711393,0.03758389261744962,0.008724832214765103,0.019463087248322148,0.015436241610738253,0.2614093959731544,0.24463087248322202,0.49395973154362355,0.37919463087248323,0.4171140939597313
"(10, 20]",0.09284116331096176,0.12718120805369165,0.03724832214765097,0.016778523489932886,0.03221476510067111,0.12516778523489935,0.038255033557046944,0.07248322147651014,0.013422818791946315,0.02986577181208049,0.00033557046979865775,0.21778523489932863,0.23120805369127567,0.2697986577181209,0.34328859060402694,0.49127516778523495
"(20, 30]",0.061148396718866384,0.08422818791946322,0.06644295302013416,0.029194630872483206,0.1000000000000002,0.10536912751677889,0.010402684563758393,0.05369127516778514,0.0010067114093959733,0.01073825503355705,0.006711409395973158,0.29496644295301927,0.257382550335571,0.2899328859060399,0.21812080536912784,0.5067114093959741
"(30, 40]",0.09141583054626516,0.1060200668896325,0.14046822742474993,0.029096989966555135,0.05618729096989968,0.08327759197324436,0.030100334448160487,0.03612040133779258,0.003678929765886287,0.008026755852842812,0.022073578595317705,0.2642140468227423,0.2354515050167223,0.2648829431438122,0.3391304347826088,0.5096989966555183
"(40, 50]",0.16331096196868036,0.10369127516778529,0.16308724832214821,0.012080536912751684,0.12986577181208092,0.1671140939597316,0.12114093959731553,0.024832214765100655,0.0010067114093959733,0.006375838926174498,0.10033557046979863,0.23456375838926238,0.28657718120805387,0.18590604026845717,0.21845637583892638,0.5949664429530207
"(50, 60]",0.08762117822520485,0.07416107382550349,0.10536912751677877,0.05436241610738247,0.15033557046979873,0.1137583892617453,0.03120805369127511,0.019463087248322145,0.04429530201342278,0.054362416107382426,0.041610738255033516,0.3795302013422821,0.2218120805369126,0.22080536912751692,0.28255033557046955,0.5604026845637579
"(60, 70]",0.10144927536231857,0.09832775919732462,0.25551839464882925,0.020066889632107007,0.08996655518394667,0.1150501672240805,0.016722408026755845,0.039799331103678864,0.013377926421404689,0.0,0.058862876254180595,0.35685618729097024,0.27190635451505013,0.18762541806020092,0.26120401337792676,0.4685618729096999
"(70, 80]",0.02982848620432509,0.06912751677852343,0.18322147651006773,0.03389261744966442,0.08657718120805383,0.14026845637583926,0.09899328859060431,0.10234899328859078,0.017785234899328848,0.01812080536912751,0.02550335570469795,0.2993288590604032,0.18187919463087243,0.30805369127516796,0.22852348993288604,0.4439597315436245
"(80, 90]",0.05611296915644729,0.11304347826086995,0.257859531772575,0.09798657718120836,0.11577181208053698,0.11103678929765909,0.0505016722408026,0.0812080536912752,0.065551839464883,0.01638795986622073,0.024496644295302,0.17190635451505062,0.16354515050167254,0.2714765100671147,0.28590604026845606,0.3949832775919735
"(90, 100]",0.04921700223713637,0.10704697986577193,0.1842281879194636,0.08929765886287643,0.07290969899665554,0.18926174496644363,0.04530201342281874,0.038795986622073536,0.019127516778523482,0.002348993288590604,0.003678929765886288,0.22885906040268458,0.141275167785235,0.3602006688963207,0.2227424749163886,0.4060402684563757
