time_elapsed,replicate_1,replicate_2,replicate_3,replicate_4,replicate_5,replicate_6,replicate_7,replicate_8,replicate_9,replicate_10,replicate_11,replicate_12,time_elapsed.1,replicate_13,replicate_14,replicate_15
"(0, 10]",0.14966442953020162,0.033892617449664396,0.0316927665920954,0.05704697986577175,0.08288590604026841,0.08538404175988047,0.005704697986577183,0.15503355704698052,0.07416107382550338,0.014765100671140938,0.3093959731543624,0.134228187919463,0.5589112602535408,0.4181208053691274,0.29157345264727813,0.27583892617449596
"(10, 20]",0.30570469798657735,0.14664429530201392,0.10439970171513765,0.01241610738255034,0.11442953020134256,0.11931394481730058,0.0463087248322147,0.17818791946308757,0.11744966442953056,0.01107382550335571,0.16644295302013482,0.1319910514541388,0.6040268456375828,0.4755033557046975,0.33780760626398165,0.2362416107382548
"(20, 30]",0.2949664429530203,0.1100671140939601,0.05182699478001481,0.03758389261744959,0.1258389261744969,0.09284116331096175,0.096308724832215,0.2174496644295303,0.03825503355704694,0.07147651006711421,0.23691275167785253,0.018269947800149133,0.5283370618941079,0.4449664429530212,0.24310216256525025,0.3822147651006712
"(30, 40]",0.3023411371237455,0.09899665551839489,0.02006688963210701,0.023745819397993292,0.13846153846153905,0.03790412486064654,0.0882943143812711,0.2150501672240801,0.09431438127090325,0.028093645484949803,0.27959866220735774,0.09847640282422865,0.6231884057970997,0.34180602006688976,0.34522482348569333,0.31438127090301
"(40, 50]",0.3221476510067116,0.07416107382550334,0.04064131245339292,0.1338926174496647,0.13020134228187966,0.09806114839671863,0.03624161073825498,0.11208053691275222,0.05302013422818779,0.035570469798657675,0.2265100671140942,0.04735272184936604,0.5477255779269218,0.4083892617449662,0.3273676360924684,0.19093959731543672
"(50, 60]",0.15302013422818875,0.08456375838926188,0.05182699478001478,0.010738255033557052,0.27919463087248364,0.03914988814317666,0.11979865771812122,0.01610738255033558,0.019798657718120807,0.03724832214765093,0.20067114093959754,0.1495152870991799,0.38068605518270054,0.4785234899328871,0.26920208799403483,0.22483221476510087
"(60, 70]",0.14816053511705726,0.06454849498327758,0.05425492382014108,0.013043478260869573,0.28294314381270946,0.056484578223708566,0.0695652173913044,0.09397993311036792,0.009030100334448165,0.07224080267558529,0.2481605351170567,0.11408398364920086,0.37643998513563753,0.4484949832775924,0.25120772946859965,0.1806020066889638
"(70, 80]",0.13020134228187957,0.06174496644295298,0.09656972408650233,0.02080536912751677,0.1973154362416111,0.10402684563758366,0.024161073825503348,0.08154362416107412,0.051006711409395895,0.00906040268456376,0.3345637583892618,0.033557046979865716,0.4970171513795674,0.3912751677852351,0.38180462341536164,0.1882550335570471
"(80, 90]",0.18227424749163929,0.03879598662207356,0.09476031215161627,0.009395973154362419,0.12080536912751695,0.04942400594574499,0.022818791946308727,0.04429530201342273,0.08294314381270908,0.011409395973154364,0.3073578595317727,0.05053883314752869,0.4704570791527313,0.3661073825503356,0.1991824600520258,0.25317725752508385
"(90, 100]",0.17919463087248358,0.024832214765100665,0.04772557792692012,0.11036789297658862,0.2742474916387956,0.033184190902311665,0.0531772575250835,0.031103678929765878,0.07449664429530205,0.03678929765886282,0.33187919463087295,0.028709917971662925,0.609619686800893,0.40568561872909753,0.1916480238627891,0.26073825503355647
"(100, 110]",0.19228187919463136,0.0033557046979865767,0.13646532438478787,0.05302013422818782,0.22852348993288607,0.04325130499627137,0.07516778523489938,0.016778523489932886,0.018120805369127507,0.010738255033557052,0.302013422818792,0.006711409395973156,0.5082028337061888,0.4117449664429533,0.0857568978374346,0.2919463087248326
"(110, 120]",0.15919732441471623,0.0,0.07692307692307676,0.014046822742474922,0.20903010033444852,0.03753251579338529,0.010367892976588633,0.08394648829431442,0.0505016722408026,0.06488294314381275,0.14648829431438168,0.05945745076179844,0.5863991081382393,0.3391304347826092,0.04310665180230389,0.3290969899665553
"(120, 130]",0.07684563758389272,0.08087248322147667,0.1513795674869501,0.03120805369127515,0.3479865771812082,0.019388516032811318,0.03590604026845631,0.11308724832214788,0.02046979865771811,0.06409395973154365,0.07818791946308733,0.058165548098433884,0.4496644295302006,0.3308724832214762,0.09284116331096172,0.30100671140939605
"(130, 140]",0.19161073825503375,0.02919463087248319,0.16032811334824754,0.01375838926174497,0.2479865771812087,0.07419835943325859,0.035570469798657654,0.10604026845637618,0.024832214765100658,0.1557046979865776,0.10201342281879205,0.0637583892617448,0.44332587621178254,0.4862416107382555,0.10141685309470526,0.27785234899328837
"(140, 150]",0.16622073578595342,0.0,0.21144555927164657,0.07391304347826085,0.36321070234113756,0.05648457822370855,0.008695652173913047,0.1026755852842809,0.03344481605351166,0.008695652173913047,0.2327759197324417,0.00297287253808993,0.44741731698253445,0.4183946488294319,0.15719063545150488,0.3421404682274249
"(150, 160]",0.26845637583892634,0.0,0.08463832960477234,0.06543624161073829,0.2748322147651012,0.06860551826994764,0.07818791946308735,0.23691275167785256,0.023489932885906038,0.019127516778523486,0.24664429530201362,0.05480984340044737,0.49552572706935255,0.33523489932885964,0.17673378076062665,0.24328859060402674
"(160, 170]",0.23389261744966466,0.010738255033557052,0.06375838926174486,0.037248322147650975,0.3570469798657717,0.06711409395973139,0.10100671140939614,0.19362416107382574,0.005704697986577183,0.0476510067114093,0.26744966442953044,0.06860551826994762,0.43027591349738953,0.30234899328859044,0.14205816554809853,0.3399328859060403
"(170, 180]",0.2086956521739136,0.0317725752508361,0.12263099219620935,0.09030100334448161,0.30200668896321076,0.010033444816053515,0.0983277591973247,0.26521739130434785,0.01070234113712375,0.038127090301003294,0.22809364548494965,0.034559643255295404,0.427722036417688,0.22408026755852875,0.09550353028613875,0.3204013377926424
"(180, 190]",0.30604026845637555,0.030872483221476503,0.0719612229679342,0.08590604026845643,0.18489932885906127,0.018269947800149133,0.04127516778523483,0.17281879194630917,0.03489932885906034,0.025838926174496613,0.2234899328859063,0.06189410887397452,0.4097688292319165,0.2828859060402681,0.03504847129008197,0.26711409395973174
"(190, 200]",0.2697986577181207,0.004026845637583892,0.039149888143176666,0.05838926174496638,0.3332214765100674,0.0287099179716629,0.04429530201342273,0.13859060402684603,0.05167785234899317,0.005704697986577182,0.2003355704697992,0.07680835197613702,0.5283370618941085,0.275838926174497,0.08128262490678577,0.2979865771812086
"(200, 210]",0.09665551839464903,0.003678929765886287,0.18468970642883717,0.03210702341137119,0.24581939799331146,0.05574136008918607,0.02207357859531771,0.05719063545150494,0.014381270903010038,0.017725752508361194,0.1665551839464886,0.14901523597175792,0.5076179858788558,0.2652173913043478,0.07506503158677054,0.23311036789297665
