Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity
"(150, 160]",0.004362416107382551,0.06409395973154366,0.025503355704697965,0.011409395973154369,0.025167785234899317,0.049664429530201275,0.10141685309470515,0.0074571215510812845,0.013422818791946315,0.046644295302013354,0.034899328859060344,0.018120805369127507,0.05067114093959721,0.07568978374347482,0.025503355704697982
"(160, 170]",0.036577181208053644,0.1046979865771815,0.1473154362416112,0.023489932885906024,0.019127516778523476,0.005369127516778525,0.17375093214019385,0.053691275167785095,0.012751677852348996,0.0060402684563758404,0.07516778523489955,0.03221476510067109,0.03322147651006705,0.16592095451155925,0.07214765100671142
"(170, 180]",0.0046822742474916385,0.09030100334448174,0.06153846153846152,0.021404682274247487,0.01304347826086957,0.05317725752508348,0.11259754738015593,0.07060572277963564,0.02006688963210701,0.008695652173913047,0.10200668896321106,0.0280936454849498,0.03879598662207352,0.016722408026755845,0.04983277591973237
"(180, 190]",0.038590604026845554,0.013087248322147658,0.035906040268456306,0.00771812080536913,0.02617449664429529,0.00939597315436242,0.043624161073825406,0.10775540641312424,0.01308724832214766,0.020469798657718103,0.0741610738255033,0.0533557046979865,0.09194630872483239,0.02945563012677102,0.006040268456375839
"(190, 200]",0.03657718120805362,0.015436241610738253,0.1372483221476512,0.022147651006711393,0.048657718120805264,0.002348993288590604,0.008948545861297542,0.033184190902311665,0.03288590604026841,0.014093959731543627,0.07114093959731548,0.031543624161073806,0.059395973154362375,0.043624161073825427,0.05067114093959723
"(200, 210]",0.09130434782608693,0.0,0.042809364548494905,0.04648829431438118,0.0006688963210702342,0.027424749163879568,0.043106651802303914,0.05759940542549227,0.03612040133779259,0.0046822742474916385,0.12508361204013413,0.031103678929765857,0.047157190635451395,0.08807134894091397,0.0615384615384615
"(210, 220]",0.03959731543624152,0.017785234899328848,0.08489932885906037,0.002013422818791946,0.031208053691275116,0.10436241610738288,0.030947054436987295,0.038777032065622594,0.03926174496644289,0.018456375838926162,0.036241610738254985,0.01677852348993288,0.07818791946308722,0.020507084265473517,0.03255033557046975
"(220, 230]",0.0060402684563758404,0.030201342281879158,0.1070469798657718,0.0010067114093959733,0.029865771812080503,0.04060402684563752,0.029828486204325082,0.03281133482475758,0.03859060402684559,0.0540268456375838,0.045973154362416065,0.04093959731543618,0.0926174496644296,0.08985831469052928,0.025167785234899296
"(230, 240]",0.05785953177257515,0.0324414715719063,0.10167224080267548,0.004682274247491639,0.07558528428093651,0.05752508361204003,0.0,0.031958379784466695,0.011705685618729103,0.054515050167223966,0.08060200668896321,0.0060200668896321086,0.11505016722408062,0.10479375696766975,0.01973244147157189
"(240, 250]",0.002684563758389262,0.007718120805369128,0.3261744966442959,0.0010067114093959733,0.013422818791946315,0.013087248322147658,0.027218493661446658,0.010067114093959734,0.0151006711409396,0.060738255033556995,0.05939597315436239,0.021812080536912734,0.17550335570469824,0.08985831469052923,0.015436241610738257
