Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.1483221476510069,0.04328859060402679,0.14865771812080592,0.0151006711409396,0.033333333333333284,0.017114093959731538,0.029865771812080513,0.14865771812080572,0.075503355704698,0.13883495145631103,0.031067961165048535,0.04697986577181197,0.12416107382550355,0.17785234899328872,0.13199105145413853,0.0493288590604026
"(10, 20]",0.20906040268456413,0.04597315436241602,0.03691275167785228,0.019127516778523482,0.010033444816053515,0.013758389261744974,0.021812080536912734,0.08255033557046988,0.07013422818791953,0.16688963210702398,0.03143812709030095,0.006711409395973154,0.09026845637583907,0.17114093959731538,0.18717375093214042,0.08288590604026864
"(20, 30]",0.15872483221476533,0.03557046979865766,0.12785234899328926,0.027181208053691255,0.028859060402684527,0.012751677852349,0.018456375838926165,0.08624161073825515,0.028859060402684558,0.1963087248322146,0.0033557046979865767,0.06308724832214756,0.11543624161073857,0.08780760626398225,0.15100671140939584,0.11610738255033608
"(30, 40]",0.18628762541806024,0.033444816053511656,0.13411371237458217,0.03377926421404677,0.0404682274247491,0.058528428093645446,0.03712374581939795,0.06655518394648831,0.04715719063545147,0.17190635451505099,0.0046822742474916385,0.004013377926421404,0.133110367892977,0.1521739130434779,0.1230026012634709,0.11270903010033441
"(40, 50]",0.15704697986577235,0.03926174496644287,0.04832214765100659,0.0516778523489932,0.028859060402684517,0.064765100671141,0.06543624161073823,0.01812080536912751,0.004362416107382551,0.11711409395973199,0.049999999999999885,0.026510067114093924,0.10134228187919479,0.13590604026845607,0.1058911260253539,0.06979865771812079
"(50, 60]",0.1258389261744973,0.12684563758389272,0.06912751677852354,0.021812080536912744,0.02583892617449661,0.019127516778523476,0.02147651006711408,0.014765100671140943,0.03322147651006705,0.08993288590604008,0.08221476510067133,0.024496644295301982,0.1157718120805371,0.08277404921700231,0.23937360178970954,0.09194630872483234
"(60, 70]",0.11538461538461572,0.10033444816053563,0.0755852842809366,0.05518394648829423,0.06020066889632112,0.025083612040133745,0.008361204013377926,0.0,0.06020066889632101,0.11070234113712402,0.09799331103678947,0.013712374581939805,0.11237458193979967,0.14381270903010013,0.07989594946116665,0.09197324414715745
"(70, 80]",0.0959731543624162,0.03657718120805363,0.1610738255033565,0.08758389261744993,0.032885906040268406,0.03926174496644288,0.0909395973154364,0.006040268456375841,0.0026845637583892616,0.07684563758389285,0.012751677852349,0.0010067114093959733,0.17416107382550391,0.10682326621923967,0.10514541387024577,0.10738255033557056
"(80, 90]",0.14347826086956525,0.07658862876254197,0.20066889632107066,0.0280936454849498,0.0013377926421404684,0.037123745819397924,0.07157190635451516,0.03511705685618724,0.012374581939799338,0.12675585284280966,0.05183946488294305,0.003678929765886287,0.07986577181208042,0.04865771812080532,0.055182699478001355,0.06845637583892629
"(90, 100]",0.13389261744966452,0.12449664429530242,0.09630872483221499,0.10570469798657738,0.010402684563758395,0.05738255033557038,0.03959731543624155,0.038255033557046896,0.053691275167785116,0.07046979865771826,0.03825503355704692,0.001342281879194631,0.04682274247491631,0.14548494983277585,0.09030100334448134,0.1120401337792644
"(100, 110]",0.1348993288590608,0.09194630872483214,0.02382550335570467,0.10838926174496637,0.0073825503355704715,0.057718120805369075,0.012080536912751684,0.026510067114093944,0.020134228187919448,0.10033557046979907,0.010738255033557052,0.002348993288590604,0.05704697986577181,0.10123042505592852,0.16815809097688364,0.1184563758389265
"(110, 120]",0.07056856187290964,0.09732441471571925,0.043143812709030005,0.09096989966555187,0.0003344481605351171,0.08795986622073611,0.03745819397993306,0.008695652173913045,0.025752508361203977,0.12909698996655555,0.0,0.011036789297658866,0.06688963210702335,0.056298773690077984,0.13786696395392037,0.06588628762541808
"(120, 130]",0.07348993288590598,0.09295302013422839,0.08389261744966467,0.06711409395973154,0.06476510067114097,0.015100671140939598,0.0060402684563758404,0.00033557046979865775,0.0785234899328861,0.1053691275167788,0.012080536912751684,0.017449664429530193,0.10503355704698004,0.07046979865771819,0.09917971662938077,0.03154362416107378
"(130, 140]",0.19932885906040318,0.08053691275167801,0.08557046979865801,0.040939597315436164,0.04161073825503346,0.025503355704697972,0.02583892617449662,0.024832214765100637,0.04429530201342274,0.12147651006711449,0.0,0.007382550335570471,0.039932885906040196,0.03467561521252795,0.11483967188665166,0.029530201342281865
"(140, 150]",0.207357859531773,0.11337792642140462,0.06153846153846144,0.09799331103678942,0.00836120401337793,0.04180602006688956,0.03143812709030095,0.06321070234113713,0.04816053511705674,0.08494983277591997,0.0003344481605351171,0.003678929765886287,0.056521739130434685,0.06075808249721292,0.09959123002601233,0.08896321070234126
"(150, 160]",0.26375838926174494,0.09295302013422845,0.09765100671140964,0.12718120805369149,0.041610738255033496,0.03322147651006706,0.004026845637583892,0.013087248322147658,0.022147651006711396,0.0895973154362417,0.0073825503355704715,0.0,0.08154362416107384,0.01565995525727069,0.09768829231916451,0.07080536912751677
"(160, 170]",0.20234899328859096,0.032214765100671096,0.148322147651007,0.07919463087248327,0.005369127516778525,0.008053691275167788,0.013087248322147657,0.027181208053691237,0.11476510067114104,0.10100671140939596,0.06912751677852344,0.002348993288590604,0.09932885906040287,0.055369127516778464,0.08090976882923169,0.07818791946308734
"(170, 180]",0.15484949832775963,0.0979933110367896,0.07859531772575254,0.07625418060200681,0.12742474916387975,0.014381270903010033,0.027424749163879568,0.0076923076923076945,0.18695652173913127,0.19933110367892995,0.012709030100334456,0.015384615384615384,0.03244147157190631,0.031215161649944256,0.10405053883314724,0.09096989966555177
"(180, 190]",0.1010067114093962,0.11375838926174527,0.11342281879194663,0.07013422818791942,0.11107382550335597,0.01946308724832214,0.009731543624161077,0.04563758389261742,0.1291946308724837,0.15302013422818822,0.002013422818791946,0.03322147651006709,0.11610738255033588,0.05536912751677845,0.09433258762117798,0.12214765100671164
"(190, 200]",0.17248322147651035,0.07885906040268456,0.08892617449664462,0.10805369127516791,0.07114093959731548,0.02986577181208052,0.02885906040268452,0.0151006711409396,0.10201342281879237,0.106040268456376,0.03288590604026841,0.025838926174496624,0.07214765100671151,0.18959731543624136,0.05555555555555543,0.06912751677852354
"(200, 210]",0.08795986622073577,0.14863945578231327,0.122448979591837,0.11036789297658894,0.04916387959866216,0.01839464882943143,0.03244147157190633,0.011705685618729105,0.044147157190635375,0.1816053511705686,0.00334448160535117,0.07759197324414732,0.11438127090301028,0.0919732441471573,0.09513192121887747,0.059197324414715716
"(210, 220]",0.1278523489932889,0.10436241610738291,0.13489932885906059,0.17248322147650993,0.005704697986577183,0.03905723905723899,0.005033557046979866,0.0006711409395973155,0.06644295302013417,0.1526845637583902,0.017114093959731538,0.0060402684563758404,0.13456375838926218,0.11129753914988826,0.04250559284116321,0.029530201342281844
"(220, 230]",0.10201342281879211,0.0963087248322147,0.11778523489932946,0.1372483221476514,0.036789297658862796,0.06053511705685616,0.043624161073825454,0.015436241610738253,0.03812709030100326,0.12207357859531799,0.04615384615384608,0.004347826086956522,0.05939597315436233,0.10626398210290847,0.07457121551081262,0.05604026845637574
"(230, 240]",0.0816053511705686,0.11605351170568597,0.15652173913043527,0.10301003344481616,0.07684563758389262,0.08187919463087243,0.03946488294314372,0.02742474916387957,0.08288590604026863,0.07214765100671142,0.03624161073825497,0.0338926174496644,0.10936454849498335,0.11426978818283187,0.08063916759568912,0.052842809364548375
"(240, 250]",0.04127516778523484,0.12449664429530223,0.13825503355704738,0.14899328859060437,0.08288590604026856,0.060402684563758434,0.02550335570469795,0.010067114093959736,0.09697986577181231,0.1775167785234902,0.039261744966442864,0.004026845637583893,0.08691275167785235,0.07997762863534685,0.11931394481730041,0.07785234899328851
"(250, 260]",0.03612040133779258,0.06454849498327758,0.19130434782608677,0.1772575250836127,0.0384615384615384,0.0735785953177259,0.0060200668896321086,0.03913043478260861,0.04849498327759186,0.14816053511705696,0.058862876254180595,0.004013377926421405,0.08996655518394665,0.028985507246376815,0.17205499814195477,0.03043478260869561
"(260, 270]",0.12516778523489952,0.054026845637583816,0.20335570469798664,0.1194630872483222,0.04060402684563752,0.06510067114093963,0.04429530201342273,0.07416107382550344,0.0751677852348994,0.18053691275167832,0.035570469798657675,0.0033557046979865767,0.25302013422818787,0.2690156599552574,0.1771066368381804,0.06610738255033555
"(270, 280]",0.19328859060402742,0.06946308724832219,0.26409395973154337,0.1557046979865777,0.06946308724832233,0.0026845637583892616,0.023154362416107355,0.06744966442953024,0.018791946308724838,0.13657718120805418,0.001342281879194631,0.004697986577181209,0.38624161073825447,0.5033557046979873,0.10961968680089458,0.029194630872483203
"(280, 290]",0.1147157190635456,0.11404682274247505,0.2779264214046824,0.09063545150501671,0.031438127090300964,0.016722408026755845,0.06588628762541811,0.06889632107023401,0.03311036789297653,0.028093645484949824,0.06655518394648825,0.0026755852842809363,0.5006688963210698,0.6326644370122628,0.15719063545150527,0.023076923076923054
"(290, 300]",0.17181208053691316,0.17248322147651035,0.1744966442953027,0.09731543624161064,0.09966442953020148,0.03624161073825496,0.12718120805369143,0.09463087248322143,0.010738255033557052,0.10570469798657733,0.05704697986577175,0.001342281879194631,0.594630872483221,0.6381431767337805,0.042878448918717275,0.03489932885906038
"(300, 310]",0.1912751677852349,0.4325503355704695,0.40503355704697985,0.24697986577181205,0.2892617449664431,0.1718120805369128,0.4194630872483226,0.465100671140939,0.19362416107382538,0.10369127516778547,0.016442953020134224,0.20033557046979852,0.6036912751677839,0.6101789709172255,0.17002237136465298,0.12013422818791941
"(310, 320]",0.6331103678929758,0.6652173913043482,0.7421404682274256,0.6076923076923076,0.542140468227424,0.6170568561872907,0.521070234113713,0.500334448160535,0.5575250836120391,0.20234113712374566,0.14682274247491647,0.4137123745819402,0.58561872909699,0.5150501672240803,0.526941657376439,0.4755852842809366
"(320, 330]",0.7496644295302023,0.7130872483221484,0.8355704697986601,0.6818791946308711,0.554362416107383,0.6409395973154353,0.5681208053691275,0.5906040268456372,0.6835570469798655,0.49865771812080545,0.5906040268456376,0.5144295302013417,0.3167785234899327,0.49496644295301984,0.6185682326621909,0.5234899328859061
"(330, 340]",0.7288590604026853,0.6781879194630859,0.8033557046979879,0.6708053691275163,0.6600671140939592,0.6902684563758392,0.6070469798657703,0.7251677852348992,0.6120805369127512,0.6211409395973156,0.6439597315436225,0.5369127516778521,0.6338926174496635,0.6392617449664438,0.6521252796420551,0.606375838926174
"(340, 350]",0.7341137123745799,0.6591973244147155,0.806354515050169,0.6715719063545145,0.6879598662207359,0.6645484949832761,0.6240802675585283,0.6632107023411371,0.5882943143812707,0.5806020066889627,0.6387959866220727,0.4645484949832779,0.7347826086956533,0.7240802675585288,0.7019695280564824,0.6454849498327748
"(350, 360]",0.6788590604026837,0.689261744966443,0.7889261744966444,0.5332214765100668,0.5211409395973153,0.7197986577181212,0.6083892617449662,0.6926174496644292,0.6516778523489924,0.6285234899328846,0.7362416107382552,0.5949664429530196,0.752348993288592,0.7790827740492181,0.7240865026099889,0.6275167785234895
"(360, 370]",0.6812080536912758,0.697986577181208,0.7466442953020143,0.6060402684563759,0.647986577181207,0.6583892617449663,0.7248322147651012,0.7359060402684554,0.7238255033557048,0.5838926174496645,0.7140939597315424,0.5479865771812084,0.7164429530201343,0.7925055928411638,0.7718120805369091,0.6795302013422807
"(370, 380]",0.6615384615384606,0.6929765886287621,0.6401337792642131,0.5816053511705677,0.7204013377926411,0.7361204013377921,0.6555183946488295,0.6732441471571897,0.6836120401337785,0.618060200668896,0.741471571906355,0.6140468227424746,0.7384615384615388,0.7173913043478262,0.7762913415087301,0.6732441471571905
"(380, 390]",0.669127516778524,0.6929530201342272,0.5557046979865773,0.6449664429530197,0.672147651006711,0.7191275167785227,0.6885906040268446,0.6724832214765092,0.6687919463087233,0.6701342281879189,0.7885906040268469,0.5912751677852347,0.7298657718120809,0.7740492170022368,0.7404921700223673,0.761409395973154
"(390, 400]",0.6418060200668897,0.7120401337792639,0.6515050167224071,0.6852842809364538,0.7046822742474919,0.6311036789297658,0.6989966555183942,0.6642140468227418,0.7806020066889648,0.5936454849498319,0.7799331103678941,0.6668896321070226,0.6969899665551831,0.811594202898551,0.7848383500557378,0.6050167224080264
"(400, 410]",0.7053691275167785,0.7043624161073827,0.7278523489932893,0.7100671140939583,0.76778523489933,0.722483221476509,0.7496644295302021,0.6909395973154351,0.8288590604026861,0.6275167785234894,0.8258389261744968,0.6053691275167786,0.7348993288590601,0.7936241610738262,0.8307233407904517,0.6453020134228189
"(410, 420]",0.6587248322147646,0.7409395973154352,0.7453020134228185,0.6308724832214758,0.7865771812080534,0.7305369127516775,0.7020134228187924,0.7416107382550343,0.763758389261745,0.6765100671140932,0.8406040268456401,0.6885906040268455,0.6630872483221477,0.7539149888143185,0.8523489932885875,0.6013422818791941
"(420, 430]",0.7180602006688958,0.7598662207357855,0.7448160535117059,0.6347826086956521,0.7946488294314396,0.7675585284280947,0.7394648829431442,0.7588628762541803,0.7578595317725759,0.6986622073578599,0.8217391304347832,0.7719063545150499,0.6658862876254178,0.8205128205128219,0.8201412114455556,0.6989966555183956
"(430, 440]",0.7184563758389252,0.7748322147651016,0.6714765100671138,0.6620805369127508,0.8036912751677867,0.8104026845637589,0.6855704697986588,0.780872483221477,0.7342281879194624,0.6422818791946312,0.8258389261744984,0.7379194630872474,0.7429530201342284,0.8294183445190162,0.8012677106636797,0.6818791946308722
"(440, 450]",0.6979865771812085,0.7600671140939596,0.7429530201342287,0.6389261744966435,0.7083892617449661,0.7664429530201349,0.7647651006711417,0.7919463087248327,0.7748322147651013,0.7030201342281875,0.8171140939597327,0.7580536912751686,0.7573825503355713,0.8182326621923947,0.7807606263982073,0.7335570469798658
"(450, 460]",0.6464882943143804,0.7484949832775912,0.7214046822742478,0.6468227424749164,0.7785953177257531,0.8163879598662226,0.7682274247491642,0.7742474916387961,0.7538461538461548,0.6946488294314376,0.857859531772577,0.7548494983277603,0.7093645484949834,0.7435897435897443,0.8249721293199528,0.7013377926421394
"(460, 470]",0.6692307692307685,0.7228187919463095,0.7234899328859055,0.6057046979865766,0.6879598662207351,0.7632107023411366,0.6819397993311039,0.7438127090301001,0.7802013422818806,0.7214046822742464,0.8287625418060202,0.7657718120805365,0.7251677852348993,0.8400447427293068,0.8695003728560754,0.7134228187919457
"(470, 480]",0.6406040268456372,0.7020066889632115,0.7521739130434786,0.5505016722408035,0.7060402684563746,0.7489932885906045,0.800671140939598,0.7755033557046983,0.6658862876254182,0.7063758389261733,0.8238255033557065,0.7197324414715721,0.7419463087248329,0.8087248322147657,0.8392990305741957,0.7604026845637597
"(480, 490]",0.7016778523489939,0.6966442953020122,0.815436241610739,0.5838926174496647,0.6684563758389258,0.7406040268456378,0.7567114093959731,0.7614093959731546,0.7231543624161071,0.7221476510067109,0.7251677852348989,0.7140939597315431,0.6852842809364543,0.7636566332218492,0.8130806391675927,0.6903010033444812
"(490, 500]",0.6351170568561867,0.7270903010033456,0.7986622073578604,0.5608695652173911,0.7471571906354516,0.6618729096989956,0.7305369127516776,0.8177852348993297,0.7053511705685612,0.6953177257525087,0.7832775919732455,0.7662207357859533,0.7050335570469792,0.7265100671140939,0.8475018642803848,0.6322147651006699
"(500, 510]",0.6748322147651006,0.7402684563758387,0.7848993288590613,0.6936241610738254,0.761073825503356,0.75234899328859,0.8053511705685638,0.7739130434782616,0.7218120805369121,0.7949664429530214,0.8261744966442961,0.7639730639730644,0.7597315436241605,0.8048098434004484,0.8814317673378054,0.6553691275167772
"(510, 520]",0.7130872483221473,0.6627516778523481,0.7493288590604019,0.6261744966442946,0.7107382550335567,0.7583892617449675,0.8046979865771817,0.7748322147651011,0.7151006711409386,0.7681208053691287,0.8674496644295321,0.7531772575250845,0.6755852842809368,0.8416945373467132,0.8413229282794471,0.6086956521739119
"(520, 530]",0.6785953177257521,0.7538461538461534,0.796655518394649,0.6284280936454852,0.7207357859531766,0.7086956521739125,0.7692307692307693,0.7749163879598655,0.7839464882943155,0.7682274247491656,0.7969899665551852,0.739130434782608,0.6812080536912752,0.7913870246085017,0.8109619686800859,0.6530201342281859
"(530, 540]",0.6459731543624152,0.7221476510067099,0.7352348993288584,0.6818791946308723,0.709060402684563,0.7093959731543638,0.7942953020134244,0.8171140939597327,0.6795302013422819,0.7822147651006708,0.8359060402684582,0.7352348993288594,0.6595317725752508,0.7212931995540688,0.8219992567818626,0.6939799331103679
"(540, 550]",0.6949664429530189,0.7204697986577177,0.7875838926174504,0.6687919463087246,0.708053691275168,0.7620805369127511,0.8302013422818803,0.8130872483221482,0.6845637583892609,0.781879194630874,0.8295302013422835,0.7573825503355702,0.6959731543624149,0.7863534675615209,0.8221476510067088,0.6838926174496649
"(550, 560]",0.7046822742474915,0.7170568561872918,0.7481605351170573,0.7207357859531773,0.6973244147157188,0.7280936454849494,0.7635451505016726,0.8013377926421416,0.7224080267558539,0.7538461538461544,0.838127090301005,0.7806020066889643,0.70738255033557,0.8294183445190166,0.8273676360924664,0.6533557046979849
"(560, 570]",0.7241610738255028,0.6805369127516777,0.7768456375838937,0.6097315436241602,0.7241610738255022,0.8342281879194646,0.7127516778523495,0.789932885906041,0.7476510067114095,0.7573825503355703,0.8221476510067127,0.7516778523489923,0.6652173913043467,0.7692307692307699,0.749907097733183,0.6993311036789291
