Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.2030201342281886,0.1838926174496648,0.24664429530201362,0.16946308724832262,0.13993288590604036,0.18489932885906107,0.2781144781144781,0.12181208053691303,0.051247165532879724,0.2820408163265305,0.03164983164983162,0.015338570894126453,0.22794612794612829,0.09124579124579141,0.1253273475495696,0.058361391694724894
"(10, 20]",0.18691275167785268,0.22550335570469843,0.2446308724832218,0.14161073825503395,0.202348993288591,0.18859060402684608,0.29429530201342313,0.14731543624161117,0.009321401938851606,0.23657718120805366,0.04328859060402679,0.008575689783743477,0.09832214765100712,0.11208053691275194,0.08575689783743455,0.0022371364653243847
"(20, 30]",0.1627516778523494,0.2755033557046982,0.2191275167785237,0.1486577181208059,0.1248322147651008,0.140604026845638,0.36140939597315447,0.17651006711409462,0.014168530947054437,0.08657718120805379,0.061409395973154327,0.05145413870246075,0.11979865771812118,0.11543624161073851,0.07643549589858296,0.03728560775540636
"(30, 40]",0.18227424749163912,0.30200668896321076,0.13846153846153872,0.159531772575251,0.1030100334448162,0.1488294314381276,0.3979933110367888,0.18227424749163895,0.0026012634708286885,0.16321070234113763,0.0903010033444818,0.005574136008918619,0.07725752508361218,0.10802675585284303,0.18023039762170254,0.030100334448160494
"(40, 50]",0.22114093959731593,0.2684563758389261,0.17986577181208124,0.13020134228187963,0.13724832214765134,0.17718120805369172,0.3852348993288593,0.16610738255033564,0.005965697240865028,0.11006711409395993,0.049999999999999885,0.024608501118568212,0.11275167785234931,0.0969798657718121,0.05891126025354201,0.030574198359433244
"(50, 60]",0.2073825503355709,0.2429530201342284,0.1721476510067117,0.1312080536912753,0.18993288590604035,0.10469798657718131,0.4063758389261747,0.13624161073825541,0.002609992542878449,0.12516778523489935,0.014093959731543627,0.0,0.11040268456375836,0.08322147651006696,0.13161819537658492,0.010067114093959734
"(60, 70]",0.1120401337792643,0.303010033444816,0.26321070234113725,0.05384615384615373,0.1451505016722413,0.0595317725752508,0.36187290969899705,0.08060200668896322,0.025641025641025602,0.15752508361204073,0.06187290969899664,0.0014864362690449645,0.03846153846153842,0.19096989966555247,0.11742846525455215,0.03010033444816048
"(70, 80]",0.1147651006711413,0.2640939597315433,0.25906040268456376,0.10704697986577207,0.18120805369127585,0.10134228187919476,0.32382550335570504,0.12046979865771831,0.015659955257270687,0.1046979865771813,0.11946308724832284,0.018269947800149133,0.09093959731543633,0.08489932885906055,0.11222967934377313,0.03504847129008197
"(80, 90]",0.18996655518394623,0.3220735785953176,0.2591973244147156,0.1943143812709034,0.2765886287625416,0.1612040133779271,0.34916387959866296,0.1351535836177477,0.038275733927907785,0.0769230769230769,0.1110367892976594,0.04422147900408762,0.05919732441471566,0.14916387959866276,0.08101077666295042,0.0654031958379783
"(90, 100]",0.14429530201342336,0.29026845637583865,0.14161073825503392,0.21510067114093967,0.20637583892617475,0.1791946308724837,0.37885906040268413,0.19453924914675783,0.07196122296793421,0.15906040268456387,0.10234899328859087,0.07345264727815044,0.0949664429530204,0.12114093959731582,0.1051454138702458,0.031692766592095405
"(100, 110]",0.08154362416107373,0.29261744966442904,0.18187919463087251,0.1681208053691283,0.16308724832214788,0.1993288590604029,0.42718120805369103,0.2812080536912753,0.09768829231916455,0.1157718120805371,0.05436241610738244,0.01715137956748694,0.08322147651006727,0.10234899328859094,0.08053691275167764,0.0026099925428784494
"(110, 120]",0.2190635451505024,0.2906354515050166,0.18795986622073615,0.16989966555183958,0.2538461538461542,0.14548494983277663,0.3214046822742474,0.21137123745819467,0.007060572277963584,0.20367892976588672,0.06755852842809366,0.007803790412486067,0.055852842809364436,0.1424749163879603,0.15273132664437017,0.014864362690449644
"(120, 130]",0.17583892617449706,0.21510067114093992,0.3114093959731541,0.20469798657718188,0.21677852348993362,0.23926174496644365,0.41107382550335614,0.13187919463087266,0.0,0.11946308724832237,0.0778523489932886,0.017897091722595064,0.05604026845637577,0.16342281879194628,0.18941088739746464,0.017524235645041002
"(130, 140]",0.23389261744966458,0.1932885906040267,0.2328859060402687,0.08758389261744973,0.13993288590604053,0.12013422818791983,0.39899328859060385,0.12348993288590636,0.00447427293064877,0.11543624161073858,0.062751677852349,0.05406413124533919,0.030536912751677817,0.13221476510067143,0.07419835943325859,0.04847129008202823
"(140, 150]",0.1819397993311041,0.2612040133779261,0.1819397993311038,0.16387959866220758,0.19297658862876327,0.14916387959866237,0.39197324414715706,0.08193979933110364,0.02787068004459306,0.17591973244147213,0.012374581939799336,0.06986250464511315,0.047491638795986515,0.15183946488294348,0.027499070977331813,0.0263842437755481
"(150, 160]",0.227852348993289,0.2510067114093962,0.208053691275168,0.12382550335570486,0.28993288590603994,0.14832214765100696,0.43087248322147603,0.1442953020134229,0.0186428038777032,0.08758389261744982,0.08590604026845643,0.007829977628635349,0.02147651006711408,0.12684563758389297,0.014914243102162566,0.0406413124533929
